civ1 dev,1.43,1.69,0.05,0.4,1.29,0.94,0.64,1.48,0.22,1.19,0.11,1.83,0.4,1.34,0.24,1.26,1.95,1.89,1.42,1.15,1.35,0.05,0.33,0.52,1.91,0.31,0.27,1.32,0.95,1.68,1.69,0.72,1.7,0.59,0.18,0.76,1.57,0.98,1.82,0.91,0.83,0.6,1.38,0.41,1.16,1.42,1.33,0.2,1.24,0.3,1.35,1.62,0.99,0.4,1.51,0.05,1.57,0.14,1.99,0.59,1.96,0.02,1.77,0.26,1.71,1.84,0.36,1.7,0.81,1.26,0.28,0.48,0.15,0.46,1.55,0.56,0.73,1.5,0.11,1.76,1.79,1.53,0.69,0.03,1.49,1.75,0.84,1.53,0.44,1.88,0.53,0.48,0.11,0.36,0.22,0.14,1.53,1.92,0.1,0.91
civ1 arms,0.68029,0.32555,0.49731,0.06998,0.11963,0.01215,0.45652,0.08839,0.34266,0.46899,0.13942,0.06644,0.24368,0.23411,0.16689,0.43119,0.06458,0.18201,0.21794,0.66433,0.06067,0.7988,0.01452,0.05101,0.35647,0.01719,0.27183,0.68515,0.32931,0.11044,0.73747,0.01398,0.15727,0.21115,0.34174,0.13834,0.04497,0.26363,0.17522,0.22207,0.06838,0.34893,0.65061,0.39722,0.09114,0.40315,0.27554,0.60851,0.67784,0.56378,0.37234,0.14974,0.09387,0.10392,0.04922,0.15029,0.17899,0.47138,0.18489,0.04063,0.5869,0.77235,0.11415,0.32375,0.37223,0.1085,0.19184,0.86905,0.01257,0.24327,0.81,0.07355,0.10144,0.14126,0.22916,0.114,0.52492,0.24793,0.07288,0.27492,0.30576,0.63214,0.22813,0.4462,0.37177,0.04491,0.76425,0.26328,0.18612,0.5642,0.59567,0.35034,0.87116,0.78827,0.34672,0.11624,0.01082,0.02263,0.11686,0.62306
civ1 agg,0.33,0.99,0.13,0.6,0.04,0.83,0.44,0.99,0.01,0.14,0.61,0.68,0.11,0.22,0.09,0.83,0.83,0.53,0.12,0.07,0.62,0.26,0.6,0.03,0.02,0.46,0.24,0.83,0.44,0.58,0.87,0.03,0.98,0.07,0.1,0.63,0.32,0.94,0.72,0.55,0.36,0.57,0.35,0.38,0.62,0.5,0.07,0.66,0.32,0.66,0.89,0.39,0.54,0.09,0.95,0.6,0.49,0.05,0.87,0.88,0.38,0.11,0.37,0.52,0.08,0.93,1,0.23,0.11,0.72,0.72,0.05,0.19,0.45,0.47,0.52,0.59,0.78,0.41,0.76,0.37,0.46,0.72,0.92,0.78,0.37,0.57,0.03,0.35,0.42,0.21,0.21,0.55,0.69,0.35,0.99,0.85,0.65,0.38,0.29
civ1 com,1.2,1.67,1.02,0.84,1.42,0.34,0.06,1.56,1.45,1.36,1.79,1.49,0.04,1.08,0.31,0.55,0.07,1.47,0.72,1.37,0.59,0.81,1.01,0.78,0.25,0.69,0.15,0.76,1.99,1.37,1.23,0.39,0.83,0.74,0.07,0.45,1.5,0.7,1.03,1.85,1.93,0.77,0.94,1.43,0.2,0.77,1.41,0.75,1.54,0.3,1.52,1.06,1.02,0.26,0.6,1.43,0.92,0.14,1.21,1.97,0.72,0.88,1.1,1.47,1.35,0.32,1.54,1.35,0.64,1.29,1.4,1.26,0.74,1.38,1.4,0.78,1.65,1.09,0.35,1.38,0.77,0.69,1.61,1.98,1.93,0.25,0.71,1.81,0.1,0.16,0.96,1.6,0.1,1.67,1.19,1.15,0.41,1.25,0.66,0.07
civ2 dev,0.52,0.86,1.52,0.57,0.38,1.9,1.93,0.86,1.69,0.25,1.4,0.31,1.88,1.75,0.02,1.37,1.64,1.08,1.12,0.96,1.44,1.36,1.35,1,1.7,0.51,1.49,1.62,0.93,1.97,1.32,1.65,0.59,1.5,1.43,1.21,1.6,1.85,0.18,1.85,0.89,0.87,0.91,1.36,0.36,0.47,0.87,1.62,0.36,1.86,1.99,0.53,1.46,0.46,0.06,0.52,1.16,0.04,0.36,1.16,0.64,0.04,0.66,1.39,1.95,1.72,1.14,0.73,1.07,1.99,0.95,0.44,0.91,1.09,0.14,1.34,1.65,0.87,1,0.48,1.7,1.29,1.76,1.19,0.67,0.4,1.48,0.17,1.27,0.69,0.08,0.27,0.27,0.73,0.67,0.35,0.76,0.88,0.35,0.24
civ2 arms,0.35921,0.29396,0.14143,0.39884,0.3242,0.48182,0.83185,0.2884,0.14637,0.11768,0.12671,0.43388,0.19192,0.47263,0.144,0.01399,0.62582,0.04,0.02262,0.63655,0.00907,0.38574,0.09164,0.43003,0.34764,0.25116,0.46897,0.51973,0.05729,0.6897,0.75233,0.15031,0.48644,0.00977,0.3953,0.12841,0.65572,0.47181,0.24789,0.05607,0.58658,0.36835,0.12875,0.48845,0.41722,0.74217,0.0716,0.66941,0.70528,0.34777,0.46785,0.09354,0.60695,0.43125,0.68011,0.26288,0.23452,0.09027,0.09643,0.09481,0.21115,0.55091,0.06119,0.25079,0.02829,0.23181,0.16738,0.37339,0.60816,0.22574,0.23874,0.11718,0.59215,0.24307,0.14556,0.26739,0.8338,0.30296,0.04792,0.19222,0.07594,0.05517,0.95614,0.29287,0.00159,0.07108,0.0735,0.15585,0.24463,0.15847,0.18658,0.40029,0.60949,0.16512,0.09601,0.39697,0.24216,0.87198,0.42746,0.23062
civ2 agg,0.1,0.3,0.26,0.81,0.11,0.75,0.64,0.14,0.12,0.1,0.25,0.71,0.48,0.26,0.44,0.55,0.09,0.18,0.34,0.99,0.5,0.22,0.06,0.58,0.54,0.71,0.78,0.76,0.09,0.46,0.85,0.65,0.56,0.24,0.52,0.43,0.1,0.44,0.53,0.29,0.67,0.53,0.83,0.98,0.08,0.49,0.7,0.32,0.81,0.71,0.45,0.37,0.2,0.14,0.06,0.55,0.83,0.29,0.18,0.22,0.32,0.83,0.17,0.07,0.5,0.27,0.39,0.96,0.49,0.3,0.69,0.57,0.13,0.36,0.16,0.95,0.58,0.85,0.52,0.89,0.05,0.08,0.51,0.65,0.62,0.13,0.69,0.34,0.89,0.83,0.66,0.79,0.46,0.24,0,0.81,0.83,0.44,0.28,0.01
civ2 com,0.01,0.35,0.55,0.17,0.74,1.35,2,0.45,1.12,1.94,1.37,0.18,1.44,1.45,0.48,0.9,0.27,0.38,1.83,0.02,1.6,0.99,1.04,0.23,0.21,0.73,0.91,0.68,1.45,0.12,0.56,0.9,1.97,0.05,1.96,0.7,1.69,0.82,0.53,1.91,0.38,1.78,0.22,0.78,1.92,0.86,0.35,0.72,1.75,0.69,0.23,0.04,1.84,0.55,0.91,0.41,0.46,1.92,0.29,0.2,1.86,0.77,1.77,0.11,1.64,0.96,1.07,1.45,1.43,0.45,1.28,0.04,0.09,0.68,1.48,0.96,0.13,0.88,0.07,1.81,1.92,1.66,1.26,1.53,0.87,0.31,1.61,0.88,1.56,1,1.6,0.99,1.34,0.75,1.71,1.75,1.03,0.71,1.69,1.48
dist,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9
rounds,0,0,0,0,0,0,0,0,0,0,8,16,9,5,7,72,16,25,45,2,221,30,138,40,6,117,3,2,1,19,5,215,11,1,1,1,1,1,2,1,1,3,32,5,1,1,1,7,6,7,6,54,54,49,30,22,2,1,2,1,2,1,2,1,2,7,1,23,1,3,1,1,1,9,49,14,2,1,1,1,3,1,2,1,6,7,3,47,7,10,1,3,1,3,57,2,417,2,1,1
