civ1 dev,civ1 arms,civ1 agg,civ1 com,civ2 dev,civ2 arms,civ2 agg,civ2 com,dist,rounds,outcome
1.3,0.75005,0.8,0.9,0.69,0.01031,0.06,1.12,2,2,Civ 1 Annihilates Civ 2
0.56,0.25285,0.68,0.23,1.35,0.33301,0.94,1.95,10,1,Everyone Has Died
1.64,0.30736,0.95,1.85,0.62,0.8781,0.43,1.68,1,1,Everyone Has Died
0.43,0.03867,0.5,1.77,0.84,0.07701,0.16,0.13,2,2,Civ 1 Annihilates Civ 2
1.14,0.09706,0.34,0.06,1.57,0.27188,0.1,0.79,7,2,Civ 1 Annihilates Civ 2
0.76,0.03947,0.56,0.05,0.51,0.2963,0.35,0.56,8,1,Civ 1 Annihilates Civ 2
1.01,0.61377,0.44,1.82,0.91,0.49255,0.78,0.91,5,2,Civ 1 Annihilates Civ 2
1.05,0.01083,0.62,1.25,1.23,0.08451,0.55,0.57,7,2,Civ 1 Annihilates Civ 2
1.95,0.28205,0.12,1.46,1.48,0.36533,0.13,0.22,9,2,Civ 1 Annihilates Civ 2
1.14,0.06791,0.39,0.08,0.94,0.12718,0.8,0.73,6,1,Civ 1 Annihilates Civ 2
0.59,0.07698,0.52,0.54,1.37,0.03356,0.2,0.6,9,2,Civ 1 Annihilates Civ 2
1.07,0.14954,0.11,0.66,0.06,0.21791,0.02,1.69,3,1,Civ 1 Annihilates Civ 2
1.78,0.03475,0.12,1.28,1.82,0.06535,0.52,1,4,3,Civ 1 Annihilates Civ 2
0.96,0.81325,0.97,1.79,0.1,0.19038,0.08,1.21,8,1,Civ 1 Annihilates Civ 2
0.31,0.50649,0.88,1.68,1.65,0.08619,0.94,1.45,4,2,Civ 1 Annihilates Civ 2
0.44,0.52235,0.27,0.05,1.66,0.41263,0.65,1.94,9,3,Civ 2 Annihilates Civ 1
1.9,0.2374,0.6,0.66,1.36,0.70753,0.37,1.46,1,2,Civ 1 Annihilates Civ 2
0.84,0.55388,0.14,0.11,1.22,0.72832,0.69,0.7,5,2,Civ 1 Annihilates Civ 2
1.95,0.04513,0.2,0.8,0.09,0.31131,0.96,1.71,3,1,Civ 1 Annihilates Civ 2
1.59,0.25204,0.27,1.29,1.34,0.34664,0.45,0.28,6,2,Civ 1 Annihilates Civ 2
0.92,0.45838,0.11,0.81,0.04,0.68002,0.07,1.88,9,1,Civ 1 Annihilates Civ 2
1.15,0.00215,0.84,0.13,1.11,0.08693,0.96,1.89,5,2,Civ 1 Annihilates Civ 2
1.13,0.04942,0.92,0.46,0.65,0.71192,0.72,1.04,3,1,Civ 1 Annihilates Civ 2
1.33,0.28052,0.69,1.89,1.54,0.54456,0.49,0.53,3,2,Civ 1 Annihilates Civ 2
0.62,0.3136,0.3,1.59,1.37,0.34449,0.18,1.19,8,2,Civ 1 Annihilates Civ 2
0.5,0.2375,0.55,1.73,1.22,0.88946,0.35,1.94,8,3,Civ 1 Annihilates Civ 2
0.52,0.52777,0.76,1.07,0.46,0.3009,0.52,0.82,10,1,Civ 1 Annihilates Civ 2
1.78,0.42799,0.2,0.68,0.51,0.15184,0.98,1.12,8,1,Civ 1 Annihilates Civ 2
1.12,0.3482,0.07,1.09,1.17,0.1547,0.76,1.01,2,4,Civ 1 Annihilates Civ 2
1.12,0.06813,0.22,1.79,1.34,0.15222,0.29,1.17,8,2,Civ 1 Annihilates Civ 2
1.34,0.48143,0.3,0.64,0.34,0.47218,0.67,1.16,7,1,Civ 1 Annihilates Civ 2
0.94,0.04696,0.06,0.63,0.7,0.5086,0.15,1.35,8,1,Civ 1 Annihilates Civ 2
1.43,0.09065,0.4,0.6,0.16,0.77365,0.77,0.75,10,1,Civ 1 Annihilates Civ 2
0.38,0.49068,0.09,0.71,0.4,0.31578,0.76,0.51,5,1,Civ 1 Annihilates Civ 2
0.9,0.28017,0.78,0.65,1.09,0.07969,0.38,0.06,1,2,Civ 1 Annihilates Civ 2
0.82,0.47397,0.79,1.08,1.88,0.02085,0.17,1.79,9,1,Civ 2 Annihilates Civ 1
1.51,0.65023,0.02,0.56,0.24,0.4627,0.76,1.81,10,1,Civ 1 Annihilates Civ 2
1.29,0.59738,0.31,1.83,0.04,0.25311,0.95,1.93,8,1,Civ 1 Annihilates Civ 2
1.88,0.08156,0.78,1.47,1.33,0.02515,0.68,0.64,6,2,Civ 1 Annihilates Civ 2
1.01,0.24074,0.59,1.01,1.65,0.07658,0.85,1.48,10,3,Civ 1 Annihilates Civ 2
1.34,0.48083,0.84,0.53,0.48,0.22399,0.9,1.27,5,1,Civ 1 Annihilates Civ 2
1.23,0.10531,0.03,1.93,1.73,0.08904,0.78,1.99,5,3,Civ 1 Annihilates Civ 2
0.85,0.34757,0.68,1.53,0.24,0.3799,0.62,0.02,4,1,Civ 1 Annihilates Civ 2
1.89,0.08374,0.38,1.27,1.02,0.46195,0.68,1.65,6,1,Civ 1 Annihilates Civ 2
1.59,0.14695,0.32,1.28,1.03,0.34743,0.55,0.78,5,1,Civ 1 Annihilates Civ 2
1.95,0.11138,0.14,0.36,1.09,0.63153,0.92,1.12,1,1,Civ 1 Annihilates Civ 2
0.29,0.76858,0.52,0.91,0.41,0.43441,0.94,1.76,7,1,Civ 1 Annihilates Civ 2
0.32,0.41749,0.71,0.2,0.75,0.15327,0.65,1.03,7,1,Civ 1 Annihilates Civ 2
0.52,0.1413,0.58,1.45,0.95,0.42855,0.82,1.72,1,1,Civ 2 Annihilates Civ 1
0.85,0.20448,0.22,1.64,1.95,0.41977,0.54,0.42,5,4,Civ 1 Annihilates Civ 2
1.66,0.7989,0.03,0.45,1.13,0.29546,0.69,0.1,9,2,Civ 1 Annihilates Civ 2
1.46,0.26062,0.56,1.92,0.61,0.41086,0.6,0.7,9,1,Civ 1 Annihilates Civ 2
0.76,0.08203,0.82,1.89,0.5,0.67629,0.78,1.84,1,1,Civ 1 Annihilates Civ 2
1.96,0.12347,0.63,1.66,0.55,0.70966,0.74,1.36,8,1,Civ 1 Annihilates Civ 2
1.27,0.88014,0.69,0.46,1.64,0.32413,0.37,0.21,6,2,Civ 1 Annihilates Civ 2
1.82,0.49095,0.22,1.9,1.79,0.28171,0.3,0.58,9,3,Civ 1 Annihilates Civ 2
0.79,0.59829,0.88,0.67,1.07,0.3977,0.17,0.1,7,2,Civ 1 Annihilates Civ 2
0.66,0.16987,0.71,0.92,0.38,0.09508,0.85,1.81,3,1,Civ 1 Annihilates Civ 2
1.34,0.15883,0.81,0.7,0.56,0.38644,0.11,0.38,1,1,Civ 1 Annihilates Civ 2
1.88,0.30918,0.68,1.42,1.55,0.53631,0.51,0.16,2,3,Civ 1 Annihilates Civ 2
1.56,0.46383,0.52,1.9,1.38,0.17226,0.92,0.43,3,1,Civ 2 Annihilates Civ 1
1,0.12844,0.91,1.42,1.62,0.38623,0.43,1.93,10,1,Civ 2 Annihilates Civ 1
1.62,0.05164,0.08,1.4,0.38,0.09535,0.72,0.28,5,1,Civ 1 Annihilates Civ 2
0.12,0.34469,0.46,1.74,0.22,0.10839,0.36,0.63,10,5,Civ 2 Annihilates Civ 1
1.77,0.35412,1,0.99,0.49,0.2449,0.04,2,10,15,Civ 1 Annihilates Civ 2
1.18,0.04992,0.67,1.09,0.46,0.43861,0.47,0.97,9,1,Civ 1 Annihilates Civ 2
0.21,0.26047,0.48,0.71,0.59,0.08188,0.79,0.3,5,1,Civ 1 Annihilates Civ 2
0.39,0.04766,0.8,0.56,0.69,0.23903,0.87,0.42,4,1,Civ 1 Annihilates Civ 2
1.64,0.40047,0.2,0.84,1.97,0.31626,0.67,0.95,10,1,Civ 1 Annihilates Civ 2
0.2,0.25807,0.06,0.53,0.34,0.15239,0.04,0.58,2,1,Civ 1 Annihilates Civ 2
0.49,0.19995,0.44,1.54,0.54,0.35793,0.43,1.35,6,1,Civ 1 Annihilates Civ 2
0.98,0.26022,0.84,1.83,0.19,0.53424,0.82,0.96,8,1,Civ 1 Annihilates Civ 2
0.54,0.40257,0.98,1.34,1.8,0.01983,0.67,1.34,8,1,Civ 1 Annihilates Civ 2
1.41,0.38383,0.31,1.32,1.86,0.32305,0.95,1.86,7,1,Civ 1 Annihilates Civ 2
0.32,0.12174,0.14,1.58,1.77,0.2992,0.2,1.34,8,1,Civ 1 Annihilates Civ 2
1.36,0.1945,0.13,1.51,1.44,0.41921,0.22,1.86,8,2,Civ 1 Annihilates Civ 2
0.22,0.27141,0.45,0.99,0.36,0.62053,0.39,1.33,9,1,Civ 1 Annihilates Civ 2
1.33,0.38714,0.48,1.3,0.36,0.30673,0.28,0.3,6,1,Civ 1 Annihilates Civ 2
1.66,0.2173,0.91,0,0.24,0.27124,0.11,0.87,9,1,Civ 1 Annihilates Civ 2
0.37,0.5417,0.46,0.45,1.19,0.05119,0.7,0.75,7,3,Everyone Has Died
